,Date,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,QCOM
999,2022-01-07,171.17652893066406,162.5540008544922,137.01699829101562,51.39992141723633,331.7900085449219,311.12469482421875,272.2154541015625,176.5965118408203
1000,2022-01-10,171.19642639160156,161.48599243164062,138.66949462890625,53.102352142333984,328.07000732421875,311.3525695800781,273.7440185546875,175.88192749023438
1001,2022-01-11,174.0697479248047,165.36199951171875,139.73599243164062,53.77562713623047,334.3699951171875,312.0559997558594,277.9101257324219,181.48101806640625
1002,2022-01-12,174.5171356201172,165.20700073242188,141.4304962158203,53.61212158203125,333.260009765625,315.3154296875,279.7283935546875,182.47946166992188
1003,2022-01-13,171.19642639160156,161.21400451660156,138.58700561523438,52.84265899658203,326.4800109863281,301.970458984375,265.501708984375,180.0029296875
1004,2022-01-14,172.07135009765625,162.13800048828125,139.48049926757812,53.57364654541016,331.8999938964844,307.32037353515625,269.1683044433594,184.70147705078125
1005,2022-01-18,168.82022094726562,158.91749572753906,135.9980010986328,52.669532775878906,318.1499938964844,299.8404235839844,258.7880249023437,175.0792694091797
1006,2022-01-19,165.2707977294922,156.2989959716797,135.1165008544922,51.57305145263672,319.5899963378906,300.5141296386719,250.43582153320312,168.8243408203125
1007,2022-01-20,163.56072998046875,151.66749572753906,133.3074951171875,50.053367614746094,316.5599975585937,298.8002014160156,241.2743682861328,162.98052978515625
1008,2022-01-21,161.4728546142578,142.64300537109375,130.35150146484375,50.053367614746094,303.1700134277344,293.28192138671875,233.52163696289065,161.44369506835938
1009,2022-01-24,160.68740844726562,144.54400634765625,130.8040008544922,49.95718383789063,308.7099914550781,293.6187744140625,233.5016632080078,166.47506713867188
1010,2022-01-25,158.85801696777344,139.98599243164062,126.93499755859376,49.053070068359375,300.1499938964844,285.8119201660156,223.0314483642578,161.95272827148438
1011,2022-01-26,158.76853942871094,138.87249755859375,129.23300170898438,49.71672821044922,294.6300048828125,293.9555969238281,227.50726318359372,163.46994018554688
1012,2022-01-27,158.30125427246094,139.6374969482422,129.0050048828125,46.2156867980957,294.6400146484375,297.0565185546875,219.23501586914065,157.7925567626953
1013,2022-01-28,169.34715270996094,143.97799682617188,133.3509979248047,45.90790557861328,301.7099914550781,305.3983764648437,228.18663024902344,163.28396606445312
1014,2022-01-31,173.77146911621094,149.57350158691406,135.30349731445312,46.95629119873047,313.260009765625,308.0931091308594,244.6312561035156,172.04478454589844
1015,2022-02-01,173.6024627685547,151.19349670410156,137.6439971923828,47.081329345703125,319.0,305.89373779296875,246.1498260498047,173.38583374023438
1016,2022-02-02,174.8253631591797,150.6125030517578,148.0,47.61995315551758,323.0,310.550048828125,252.18418884277344,184.22183227539065
